id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
992;1010;lh.insula_2;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;354;17.280001
662;1010;lh.precentral_25;Left-Putamen;51;78;ctx-lh-precentral;Left-Putamen;325;30.999997
706;1009;lh.posteriorcingulate_1;Left-Caudate;55;77;ctx-lh-posteriorcingulate;Left-Caudate;350;13.783217
14;504;rh.lateralorbitofrontal_3;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;386;29.210001
145;504;rh.precentral_19;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;395;32.500000
145;487;rh.precentral_19;rh.insula_13;10;34;ctx-rh-precentral;ctx-rh-insula;311;17.666662
145;159;rh.precentral_19;rh.precentral_7;10;10;ctx-rh-precentral;ctx-rh-precentral;340;17.649997
145;488;rh.precentral_19;rh.insula_6;10;34;ctx-rh-precentral;ctx-rh-insula;299;21.766665
124;127;rh.caudalmiddlefrontal_3;rh.caudalmiddlefrontal_11;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;314;17.287136
993;1010;lh.insula_16;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;350;13.708334
993;1008;lh.insula_16;Left-Thalamus-Proper;75;76;ctx-lh-insula;Left-Thalamus-Proper;300;13.000000
486;504;rh.insula_16;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;407;16.085717
486;502;rh.insula_16;Right-Thalamus-Proper;34;35;ctx-rh-insula;Right-Thalamus-Proper;323;13.400001
1015;1015;Brain-Stem;Brain-Stem;83;83;Brain-Stem;Brain-Stem;335;11.700005
98;102;rh.superiorfrontal_25;rh.superiorfrontal_5;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;322;14.433335
98;103;rh.superiorfrontal_25;rh.superiorfrontal_22;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;336;13.216668
1000;1014;lh.insula_13;Left-Amygdala;75;82;ctx-lh-insula;Left-Amygdala;321;11.800004
523;1010;lh.lateralorbitofrontal_1;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;375;37.428583
460;507;rh.superiortemporal_14;Right-Hippocampus;32;40;ctx-rh-superiortemporal;Right-Hippocampus;362;25.000011
723;1010;lh.postcentral_21;Left-Putamen;57;78;ctx-lh-postcentral;Left-Putamen;337;39.405267
180;504;rh.rostralanteriorcingulate_2;Right-Putamen;12;37;ctx-rh-rostralanteriorcingulate;Right-Putamen;303;24.600002
180;503;rh.rostralanteriorcingulate_2;Right-Caudate;12;36;ctx-rh-rostralanteriorcingulate;Right-Caudate;414;13.236508
